1,1,2006	1000:1000	-8,875	775,8	782,412		86,25	
1,1,2007	1000:1000	-7,4	769,287	775,837		73,875	
1,1,2008	1000:1000	-12,2875	769,4	776,013		61,5	
1,1,2009	1000:1000	-5,375	758,425	764,812		66,625	
1,1,2010	1000:1000	1,975	755,462	761,575		92,875	
1,1,2011	1000:1000	-2,5	761,914	768,271		48,2857	
1,1,2012	1000:1000	-2,0875	759,663	765,962		63	
1,1,2013	1000:1000	-5,3125	761,362	767,75		71,875	
1,1,2014	1000:1000	-5,05	766,613	773,05	-0,4625	69,375	
1,1,2015	1000:1000	-0,6875	758,875	765,175	0,375	88,25	
1,1,2016	1000:1000	0,7125	759,475	765,738	0,6125	62,125	
1,1,2017	1000:1000	-0,9625	762,25	768,55	-0,5375	74,75	
1,1,2018	1000:1000	1,4875	758,638	764,863	-0,2625	71,125	
1,1,2019	1000:1000	-3,7375	765,45	771,837	0,0125	75,875	
1,1,2020	1000:1000	4,1	758,85	764,975	-0,225	76,875	
1,1,2021	1000:1000	-8,325	771,15	777,775	-0,0875	78,75	
1,1,2022	1000:1000	-6,925	760,025	766,687	-0,15	99,375	
1,1,2023	1000:1000	-0,5875	767,812	774,163	-0,657143	70,625	
1,2,2005	1000:1000	-10,4857	759,457	765,943		71,7143	
1,2,2006	1000:1000	-0,8875	758,25	764,55		94,625	
1,2,2007	1000:1000	3,5875	756,525	762,663		63,625	
1,2,2008	1000:1000	-6,2625	758,725	765,175		66,125	
1,2,2009	1000:1000	0,0375	755,425	761,762		92,5	
1,2,2010	1000:1000	0,175	759,362	765,625		77,625	
1,2,2011	1000:1000	0,5875	752,45	758,613		73,5	
1,2,2012	1000:1000	-11,46	765,36	771,94		76,8	
1,2,2013	1000:1000	2,575	751,75	757,863	-0,0333333	86,875	
1,2,2014	1000:1000	-21,1625	779,825	786,775	0,2125	72,2857	
1,2,2015	1000:1000	-8,25	765,175	771,588	0,7	62,125	
1,2,2016	1000:1000	1,4625	764,513	770,763	-0,2	61,625	
1,2,2017	1000:1000	-4,2375	762,013	768,425	-0,1125	63,25	
1,2,2018	1000:1000	-0,85	761,375	767,675	-0,225	56,5	
1,2,2019	1000:1000	-1,95	763,55	769,9	-0,25	69,875	
1,2,2020	1000:1000	2,825	753,037	759,2	-0,5375	70,875	
1,2,2021	1000:1000	1,8875	761,763	767,962	1,025	61,25	
1,2,2022	1000:1000	-0,2	759,5	765,775	-0,075	72,875	
1,2,2023	1000:1000	4,0125	751,825	757,925	-0,957143	75,375	
1,3,2005	1000:1000	12,2375	752,862	758,75		56,5	
1,3,2006	1000:1000	5,125	757,638	763,763		64	
1,3,2007	1000:1000	-5,9125	770,1	776,55		58,625	
1,3,2008	1000:1000	7,3	756,4	762,612		58,625	
1,3,2009	1000:1000	8,275	748,487	754,5		74,25	
1,3,2010	1000:1000	1,25	758,688	764,9		65	
1,3,2011	1000:1000	-10,3875	768,6	775,188		66,5	
1,3,2012	1000:1000	3,075	753,462	759,638		52,75	
1,3,2013	1000:1000	5,875	753,9	759,975	-0,5625	57,625	
1,3,2014	1000:1000	-0,725	762,95	769,288	-0,05	60,25	
1,3,2015	1000:1000	4,125	760,812	766,987	-0,8	55,375	
1,3,2016	1000:1000	5,9375	764,025	770,188	0,2375	59,125	
1,3,2017	1000:1000	1,9875	766,55	772,787	0,0375	48,25	
1,3,2018	1000:1000	-0,15	759,312	765,612	-0,0142857	94,375	
1,3,2019	1000:1000	5,3	747,425	753,488	-0,842857	72,625	
1,3,2020	1000:1000	8,6375	753,462	759,45	0,15	65,875	
1,3,2021	1000:1000	4,2625	756,925	763,05	0,6125	57,75	
1,3,2022	1000:1000	6,4625	761,987	768,112	0,2	72,25	
1,3,2023	1000:1000	10,1375	757,887	763,95	-0,525	44,125	
1,4,2005	1000:1000	9,7125	757,963	764		44,75	
1,4,2006	1000:1000	11,2875	759,5	765,475		53,625	
1,4,2007	1000:1000	10,1875	757,775	763,775		67	
1,4,2008	1000:1000	17,55	754,488	760,363		36,25	
1,4,2009	1000:1000	12,65	754,75	760,688		45,125	
1,4,2010	1000:1000	12,7375	754,837	760,788		47,75	
1,4,2011	1000:1000	16,2375	760,388	766,25		42,5	
1,4,2012	1000:1000	12,775	752,188	758,15		66,125	
1,4,2013	1000:1000	3,95	769,75	776,013	-0,0375	53,375	
1,4,2014	1000:1000	2,9875	758,6	764,8	0,4875	91,625	
1,4,2015	1000:1000	5,0125	754,9	761,013	-0,0625	54	
1,4,2016	1000:1000	7,2625	759,862	765,963	0,1625	69,875	
1,4,2017	1000:1000	3,05	764,587	770,85	-0,025	50,5	
1,4,2018	1000:1000	4	767,25	773,45	0,1875	43,75	
1,4,2019	1000:1000	8,1125	762,438	768,538	-0,625	64	
1,4,2020	1000:1000	13,9875	752,962	758,887	0,7875	60,75	
1,4,2021	1000:1000	5,425	768,713	774,912	-0,3375	51,625	
1,4,2022	1000:1000	15,95	760,263	766,175	0,0625	33,875	
1,4,2023	1000:1000	17,95	750,875	756,712	-0,3375	36,375	
1,5,2005	1000:1000	24,3375	751,75	757,425		48,125	
1,5,2006	1000:1000	9,725	762,425	768,487		69,5	
1,5,2007	1000:1000	22,1125	751,638	757,388		51,125	
1,5,2008	1000:1000	19,0286	756,186	762,043		27,7143	
1,5,2009	1000:1000	21,9375	748,263	753,8		35,875	
1,5,2010	1000:1000	11,325	759,312	765,325		67,75	
1,5,2011	1000:1000	23,0125	754,263	760		42,125	
1,5,2012	1000:1000	18,9	752,45	758,225		54	
1,5,2013	1000:1000	21,875	763,35	769,187	-0,025	42,625	
1,5,2014	1000:1000	23,1375	756,487	762,25	-0,1	51,5	
1,5,2015	1000:1000	21,6625	755,363	761,137	-0,2625	39,875	
1,5,2016	1000:1000	18,7571	753,043	758,814	0,05	66	
1,5,2017	1000:1000	20,775	762,6	768,462	0,0625	31,875	
1,5,2018	1000:1000	17,1	763,762	769,513	0,3125	38,125	
1,5,2019	1000:1000	12,9	758,212	764,175	0,157143	67,5	
1,5,2020	1000:1000	18,75	755,4	761,237	-0,6125	49,5	
1,5,2021	1000:1000	18,525	759,587	765,45	-0,2375	40,375	
1,5,2022	1000:1000	21,55	751,888	757,587	-0,15	56,75	
1,5,2023	1000:1000	24,4375	751,938	757,613	0,075	35	
1,6,2005	1000:1000	28,625	751,55	757,15		54,125	
1,6,2006	1000:1000	24,8375	757,212	762,913		51,625	
1,6,2007	1000:1000	29,4625	750,213	755,8		39,5	
1,6,2008	1000:1000	22,6625	755,837	761,6		38,875	
1,6,2009	1000:1000	21,7125	749,388	755,125		50,375	
1,6,2010	1000:1000	26,15	755,45	761,15		34,5	
1,6,2011	1000:1000	26,2625	753,575	759,263		43,875	
1,6,2012	1000:1000	29,6625	753,225	758,775		41,625	
1,6,2013	1000:1000	26,825	747,75	753,363	0,0875	48,875	
1,6,2014	1000:1000	19,9625	760,325	766,138	0,2125	45	
1,6,2015	1000:1000	29,325	754,675	761,225	0,2125	49,625	
1,6,2016	1000:1000	25,8625	748,788	754,538	-0,125	46,25	
1,6,2017	1000:1000	24,7875	751,975	757,637	-0,3875	31,625	
1,6,2018	1000:1000	23,925	747,937	753,638	-1,22857	37,625	
1,6,2019	1000:1000	25,6875	751,375	757,038	-0,157143	51,375	
1,6,2020	1000:1000	31,3625	750,85	756,413	-0,0875	47,125	
1,6,2021	1000:1000	30,9286	749,486	755,057	-0,0428571	28,5714	
1,6,2022	1000:1000	29,575	754,037	759,638	-0,15	28,125	
1,6,2023	1000:1000	29,825	751,525	757,112	-0,157143	26,375	
1,7,2005	1000:1000	29,675	749,137	754,525		40,125	
1,7,2006	1000:1000	28,75	746,312	751,875		53,625	
1,7,2007	1000:1000	30,7375	750,4	755,963		36,5	
1,7,2008	1000:1000	26,7375	748,425	754,075		40,625	
1,7,2009	1000:1000	26,6875	752,362	758,013		35,875	
1,7,2010	1000:1000	28,3125	750,613	756,2		44,375	
1,7,2011	1000:1000	28,45	751,014	756,586		43,625	
1,7,2012	1000:1000	30,9875	750,5	756,062		48,625	
1,7,2013	1000:1000	29,9875	747,062	752,637	-0,5875	40,25	
1,7,2014	1000:1000	23,6625	764,337	770,163	0,375	48,875	
1,7,2015	1000:1000	35,1125	750,275	755,763	0,075	42,875	
1,7,2016	1000:1000	29,6875	748,187	753,775	0,1625	38,5	
1,7,2017	1000:1000	32,4571	750,75	756,875	0,3375	30,1429	
1,7,2018	1000:1000	30,575	750,338	755,862	0,55	34	
1,7,2019	1000:1000	28,5625	745,825	751,388	0,171429	48,875	
1,7,2020	1000:1000	27,4	749,375	755,012	0,475	43,625	
1,7,2021	1000:1000	34,8375	749,475	754,975	0,0375	33	
1,7,2022	1000:1000	25,95	751,5	757,138	-2,08167e-17	27,625	
1,7,2023	1000:1000	31,6125	746,825	752,362	-0,275	28,75	
1,8,2005	1000:1000	23,875	746,337	751,95		55,75	
1,8,2006	1000:1000	24,025	753,237	758,95		49	
1,8,2007	1000:1000	29,475	751,387	756,963		41,75	
1,8,2008	1000:1000	33,7125	748,914	754,612		37,5	
1,8,2009	1000:1000	28,5	746,283	751,85		45,6667	
1,8,2010	1000:1000	27,825	753,125	758,775		55,75	
1,8,2011	1000:1000	36,0833	747,617	753,367		38,3333	
1,8,2012	1000:1000	24,275	753,425	759,163		46,75	
1,8,2013	1000:1000	26,675	751,913	757,538	0,1125	57,125	
1,8,2014	1000:1000	23,85	756,95	762,688	-0,3625	41,5	
1,8,2015	1000:1000	29,6125	751,15	756,712	0,05	45,25	
1,8,2016	1000:1000	29,95	754,425	760,037	-0,0875	42,625	
1,8,2017	1000:1000	31,3625	753,125	758,738	-0,0875	38,125	
1,8,2018	1000:1000	28,175	750,212	755,85	0,1	38,875	
1,8,2019	1000:1000	30,5625	745,337	750,85	0,0125	45,375	
1,8,2020	1000:1000	26,825	750,262	755,887	-0,25	41,875	
1,8,2021	1000:1000	28,7875	752,05	757,625	-0,15	31,625	
